Centro Comercial,CP,Latitude,Longitude
"Centro comercial Mediterráneo, andalucia, España",4009.0,36.8542872,-2.4471993
"Centro comercial Carrefour Almería, andalucia, España",4006.0,36.8411848,-2.4443906
"Centro comercial Torrecárdenas, andalucia, España",4009.0,36.8602143,-2.4447288
"Centro comercial Copo, andalucia, España",4700.0,36.7524419,-2.8065391
"Centro comercial Gran Plaza, andalucia, España",4740.0,36.7744239,-2.6134359
"Centro comercial Viapark Vícar, andalucia, España",4721.0,36.8160533,-2.6002355
"Centro comercial Las Palomas, andalucia, España",11204.0,36.1428511,-5.463750699999999
"Centro comercial Puerta Europa, andalucia, España",11203.0,36.1350785,-5.4624938
"Centro comercial Plaza de Andalucía, andalucia, España",11202.0,36.1327822,-5.4517739
"Centro comercial Las tiendas de Arcos de la frontera, andalucia, España",11630.0,36.7560042,-5.8116522
"Centro comercial Bahía Mar, andalucia, España",11500.0,36.5924285,-6.2211646
"Centro comercial El Paseo, andalucia, España",11500.0,36.6162231,-6.2125221
"Centro comercial Área Sur, andalucia, España",11408.0,36.6915297,-6.1557897
"Centro comercial Carrefour Jerez Sur, andalucia, España",11408.0,36.6722196,-6.1506108
"Centro comercial Luz Shopping, andalucia, España",11408.0,36.6937482,-6.1598999
"Centro comercial Carrefour Jerez Norte, andalucia, España",11405.0,36.695648,-6.1155347
"Centro comercial Merca-80 San Benito, andalucia, España",11407.0,36.6967037,-6.135095199999999
"Centro comercial Gran Sur, andalucia, España",11300.0,36.1737129,-5.3628021
"Centro comercial Carrefour Los Barrios, andalucia, España",11370.0,36.1803298,-5.441682699999999
"Centro comercial Puerta de Chiclana, andalucia, España",11130.0,36.442903,-6.1425681
"Centro comercial Bahía Sur, andalucia, España",11100.0,36.470932,-6.2087013
"Centro comercial San Fernando Plaza, andalucia, España",11100.0,36.4627009,-6.2031236
"Centro comercial Las Dunas, andalucia, España",11540.0,36.7500906,-6.3382846
"Centro comercial Multiocio Sanlúcar, andalucia, España",11540.0,36.7725774,-6.3529689
"Centro comercial Carrefour Baena, andalucia, España",14850.0,37.62224820000001,-4.3078835
"Centro comercial Carrefour Zahira Córdoba, andalucia, España",14014.0,37.8938767,-4.7473388
"Centro comercial El Arcángel, andalucia, España",14010.0,37.8787857,-4.766205999999999
"Centro comercial La Sierra, andalucia, España",14011.0,37.8960663,-4.7915244
"Centro comercial Zoco Córdoba, andalucia, España",14005.0,37.880238,-4.798321
"Centro comercial Carrefour Lucena, andalucia, España",14900.0,37.4148919,-4.506988199999999
"Centro comercial Alcampo Granada, andalucia, España",18013.0,37.172228,-3.602215799999999
"Centro comercial Nevada Shopping, andalucia, España",18100.0,37.1453493,-3.6156595
"Centro comercial Carrefour Granada, andalucia, España",18006.0,37.1545523,-3.6084391
"Centro comercial Neptuno, andalucia, España",18004.0,37.1689375,-3.607386
"Centro comercial Alhsur, andalucia, España",18140.0,37.1291562,-3.5848924
"Centro comercial Alcampo Motril, andalucia, España",18600.0,36.7418157,-3.5292593
"Centro comercial Carrefour Pulianas, andalucia, España",18197.0,37.2129574,-3.6175468
"Centro comercial La Plaza de Ayamonte, andalucia, España",21400.0,37.2216667,-7.398611099999999
"Centro comercial Carrefour Cartaya, andalucia, España",21450.0,37.2897583,-7.1401768
"Centro comercial Aqualón Puerto Huelva, andalucia, España",21002.0,37.26147479999999,-6.960199299999999
"Centro comercial Holea, andalucia, España",21007.0,37.271989,-6.9197195
"Centro comercial Marismas del Polvorín (parque comercial), andalucia, España",21007.0,37.2537793,-6.9329277
"Centro comercial Islantilla, andalucia, España",21449.0,37.2048098,-7.2365768
"Centro comercial Punta Almenara, andalucia, España",21100.0,37.1886537,-6.9798214
"Centro comercial Carrefour Andújar, andalucia, España",23740.0,38.0380973,-4.0390514
"Centro comercial La Loma, andalucia, España",23009.0,37.781776,-3.767278
"Centro comercial Alcampo Linares, andalucia, España",23700.0,38.0882814,-3.6465031
"Centro comercial Carrefour Úbeda, andalucia, España",23400.0,38.0162284,-3.381266
"Centro comercial La Verónica, andalucia, España",29200.0,37.0260026,-4.5721492
"Centro comercial Puerto Marina Shoping, andalucia, España",29630.0,36.5972176,-4.5146809
"Centro comercial La Trocha, andalucia, España",29100.0,36.6745626,-4.7332493
"Centro comercial Carrefour Estepona, andalucia, España",29680.0,36.416729,-5.1593632
"Centro comercial Miramar, andalucia, España",29640.0,36.529064,-4.632325
"Centro comercial Bahía Azul (Parque comercial), andalucia, España",29004.0,36.659571,-4.482679
"Centro comercial Carrefour Alameda, andalucia, España",29007.0,36.7151972,-4.455365
"Centro comercial Carrefour Los Patios, andalucia, España",29004.0,36.6865415,-4.4591622
"Centro comercial Larios Centro, andalucia, España",29002.0,36.7148043,-4.432423
"Centro comercial Málaga Nostrum (Parque comercial), andalucia, España",29004.0,36.6862094,-4.471151
"Centro comercial Málaga Plaza, andalucia, España",29007.0,36.7185453,-4.4287448
"Centro comercial Plaza Mayor, andalucia, España",29004.0,36.6567922,-4.4788456
"Centro comercial Rosaleda, andalucia, España",29011.0,36.7343332,-4.432036
"Centro comercial Vialia Estación María Zambrano, andalucia, España",29002.0,36.7118463,-4.4311751
"Centro comercial La Cañada, andalucia, España",29600.0,36.5212264,-4.8745305
"Centro comercial Marina Banús, andalucia, España",29660.0,36.4899372,-4.9520544
"Centro comercial Plaza del Mar, andalucia, España",29602.0,36.5069868,-4.8891038
"Centro comercial Parque Miramar de Mijas (Parque comercial), andalucia, España",29649.0,36.5362633,-4.6345224
"Centro comercial Rincón de la Victoria, andalucia, España",29720.0,36.7235638,-4.312798
"Centro comercial El Ingenio, andalucia, España",29700.0,36.7550795,-4.100448399999999
"Centro comercial Los Alcores, andalucia, España",41500.0,37.3512016,-5.8579091
"Centro comercial Parque Guadaira, andalucia, España",41500.0,37.354252,-5.8591234
