CP,Market Size,Latitude,Longitude
1001,4055236,42.848539,-2.672299
1002,9222645,42.853756,-2.657399
1003,10160240,42.845374,-2.651191
1004,1968115,42.844406,-2.666711
1005,3139321,42.843667,-2.672299
1006,6059528,42.835516,-2.656157
1007,4564384,42.834706,-2.690932
1008,7509826,42.848249,-2.68472
1009,3751642,42.854309,-2.685962
1010,20736887,42.856336,-2.703358
1012,7160116,42.854541,-2.676025
1013,4104340,42.867004,-2.663607
1015,8658672,42.836144,-2.733193
1110,348103,42.654216,-2.351753
1117,59006,42.716824,-2.367172
1118,187899,42.635546,-2.469378
1120,190633,42.73945,-2.446218
1128,7959,42.765422,-2.522461
1129,20799,42.728909,-2.479512
1130,416327,42.958128,-2.820321
1138,481704,42.972711,-2.712959
1139,482411,42.975302,-2.868777
1160,283382,43.052119,-2.564711
1165,86553,43.048142,-2.630946
1169,142531,43.04358,-2.581417
1170,721403,42.975793,-2.67882
1191,316161,42.888152,-2.797901
1192,543197,42.833023,-2.537436
1193,330666,42.810233,-2.535244
1194,532261,42.780754,-2.558492
1195,443989,42.820691,-2.768025
1196,467743,42.91641,-2.710193
1200,1665225,42.811272,-2.312303
1206,331995,42.882887,-2.486167
1207,127207,42.823711,-2.415248
1208,179058,42.874471,-2.306938
1211,159440,42.685645,-2.89264
1212,143488,42.657039,-2.860516
1213,469020,42.756774,-2.926242
1216,10580,42.727399,-2.543628
1220,91050,42.720681,-2.867686
1230,845764,42.817119,-2.811978
1240,1013296,42.846114,-2.509891
1250,499674,42.890802,-2.315428
1260,23848,42.859099,-2.266117
1300,521984,42.553216,-2.583984
1306,239168,42.494707,-2.57317
1307,255658,42.529522,-2.67893
1308,233640,42.591795,-2.515501
1309,194943,42.570607,-2.543318
1320,1084695,42.515041,-2.450526
1321,12066,42.501269,-2.506488
1322,144002,42.525059,-2.408339
1330,472540,42.604838,-2.807864
1340,330655,42.514961,-2.618546
1400,5869098,43.14552,-2.987556
1408,410711,43.099407,-2.998058
1409,377144,43.155824,-3.025703
1420,186367,42.804734,-2.932266
1423,510952,42.781496,-3.006001
1426,56290,42.784878,-2.969744
1427,26682,42.90415,-3.154437
1428,53725,42.801317,-2.89844
1430,60167,42.869786,-2.887425
1439,52105,42.91796,-2.895754
1440,417057,42.952681,-2.900081
1449,24404,42.945383,-2.916971
1450,22087,43.048192,-2.920404
1468,312012,42.996242,-2.982243
1470,2974608,43.051865,-3.001311
1474,622196,43.12058,-3.129408
1476,32408,43.07878,-3.041764
1477,38045,43.058346,-3.133115
1478,21022,43.147956,-3.15922
1479,502026,43.034588,-3.069829
1510,173456,42.939611,-2.667021
1520,328589,42.916435,-2.617377
2001,4700638,39.001916,-1.839148
2002,5748001,38.987367,-1.852563
2003,4941887,38.989858,-1.859881
2004,5347204,38.992387,-1.864761
2005,11214889,39.067615,-1.802585
2006,8159006,39.033687,-1.968583
2007,11610,39.097782,-1.870861
2008,4868566,38.994258,-1.860173
2049,901834,38.91977,-1.919695
2100,1243258,39.265119,-1.912995
2110,549483,39.113278,-1.996106
2120,270194,38.772149,-1.997941
2124,108882,38.646805,-1.978367
2125,49665,38.539146,-2.135204
2127,38390,38.719936,-2.175114
2129,7590,38.670749,-2.126306
2130,130866,38.558687,-2.213829
2136,65312,38.59738,-2.345877
2137,2237,38.573342,-2.329404
2139,102905,38.583126,-2.090589
2140,187905,38.826225,-1.890388
2141,237889,38.71995,-1.911145
2142,82892,38.63726,-1.903103
2150,403302,39.135843,-1.677284
2151,268774,39.100201,-1.55787
2152,99559,39.09505,-1.361995
2153,95995,39.102162,-1.308971
2154,116661,39.076351,-1.506946
2155,1960,39.068789,-1.724686
2156,170438,39.040816,-1.700674
2160,177199,38.949649,-2.355453
2161,70203,38.895965,-2.266117
2162,61802,38.962296,-2.126354
2200,1047631,39.286714,-1.471266
2210,7817,39.197343,-1.453136
2211,15433,39.185288,-1.429577
2212,116083,39.257871,-1.333064
2213,19528,39.199787,-1.24098
2214,252465,39.204311,-1.434327
2215,139920,39.279205,-1.395773
2220,107665,39.180312,-1.791013
2230,1026748,39.236681,-1.800149
2240,284548,39.203905,-1.734416
2246,96008,39.280086,-1.719214
2247,225083,39.302311,-1.662709
2248,63558,39.088394,-1.428973
2249,48244,39.190604,-1.596274
2250,159861,39.210505,-1.541444
2252,2253,39.228525,-1.478823
2253,22925,39.239422,-1.635698
2260,368630,39.258442,-1.549921
2270,808883,39.362867,-1.597183
2300,282276,38.671074,-2.492568
2310,72089,38.772414,-2.574404
2311,79263,38.700744,-2.603424
2312,13890,38.69871,-2.531864
2313,36757,38.67166,-2.41042
2314,30784,38.720796,-2.47046
2315,70579,38.594704,-2.509891
2316,87856,38.621294,-2.568404
2320,458299,38.884867,-2.152287
2326,218077,38.771254,-2.159145
2327,107189,38.822906,-2.086133
2328,234971,38.939001,-2.017524
2329,59111,38.77104,-2.240273
2340,72281,38.813026,-2.324781
2350,106668,38.575614,-2.633195
2360,117399,38.528693,-2.648709
2400,5484264,38.50689,-1.69794
2409,170527,38.495413,-1.578999
2410,205252,38.532204,-1.929468
2420,410432,38.489145,-1.745442
2430,765538,38.445464,-2.086133
2434,177235,38.365626,-2.101462
2435,222126,38.332776,-1.984483
2436,125409,38.355548,-2.008421
2437,94975,38.326194,-1.883083
2439,8655,38.42665,-2.015382
