CMP name,Name Unit,CP CMP,CP Sales,Sales Value (excl. VAT)
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2001,432.1
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2005,134.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2006,1035.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2008,50.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2480,3127.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2640,569.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2690,6964.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3001,246183.84
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3002,33186.08
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3003,334606.63
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3004,379065.55
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3005,1169149.94
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3006,189501.89
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3007,241626.89
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3008,441519.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3009,560371.34
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3010,518550.35
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3011,42143.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3012,486876.74
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3013,523038.03
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3014,202173.37
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3015,846265.32
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3016,482006.12
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3100,8777.62
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3108,6220.3
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3109,10749.09
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3110,339027.62
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3111,47724.33
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3112,43765.59
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3113,26901.88
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3114,1955.58
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3130,103228.5
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3139,3621.54
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3140,2796.1
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3150,600.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3159,1289.3
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3160,1420.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3170,1579.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3177,8909.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3179,1831.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3181,1709.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3183,11325.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3184,376.9
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3185,3475.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3189,14031.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3190,2134.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3195,43939.61
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3201,21448.3
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3202,150863.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3203,43337.41
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3204,12461.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3205,14469.8
