CMP,Roundist,Sales,Market Size,Pct,Acc_sales,Acc_Pct,Acc_MSize,MShare,Acc_MShare
Centro 1,0,824968.4,3909696.254901904,0.004757505877897024,824968.4,0.004757505877897024,3909696.254901904,0.21100575242019634,0.21100575242019634
Centro 1,2,2219772.3,16145783.220068106,0.012801193069750302,3044740.6999999997,0.017558698947647326,20055479.47497001,0.13748309820244423,0.15181590167415096
Centro 1,3,1285216.1,10547224.643719224,0.007411705890938234,4329956.8,0.02497040483858556,30602704.11868923,0.12185348690428571,0.1414893528103509
Centro 1,4,1184980.4,9363151.947115565,0.006833657165768732,5514937.199999999,0.03180406200435429,39965856.065804794,0.12655785217338567,0.13799121907759251
Centro 1,5,3512893.0999999996,16894247.925555535,0.0202584845330729,9027830.299999999,0.05206254653742719,56860103.99136033,0.2079342694317945,0.1587726660044755
Centro 1,6,1630604.0,12400947.588879112,0.009403521534306524,10658434.299999999,0.06146606807173371,69261051.58023944,0.13149027429664234,0.15388784976289485
Centro 1,7,588559.0,4148841.8056644015,0.0033941577665146864,11246993.299999999,0.0648602258382484,73409893.38590385,0.1418610367829504,0.15320814104546354
Centro 1,9,892361.2,4365727.254419852,0.005146153057750141,12139354.499999998,0.07000637889599853,77775620.6403237,0.2044015001387399,0.15608174386854337
Centro 1,10,158948.19999999998,826888.0674049569,0.0009166375291237236,12298302.699999997,0.07092301642512225,78602508.70772865,0.19222456613605637,0.15646196161154785
Centro 1,14,1708117.4000000001,8304489.000080263,0.009850533148467483,14006420.099999998,0.08077354957358973,86906997.70780891,0.2056860331783799,0.16116561921850248
Centro 1,17,189514.5,5533731.865365205,0.001092910162009497,14195934.599999998,0.08186645973559924,92440729.57317412,0.03424714182234646,0.153567963662195
Centro 1,18,545663.8,7219264.313593832,0.00314678566579717,14741598.399999999,0.0850132454013964,99659993.88676795,0.07558440532126222,0.14791891736165627
Centro 1,19,158491.8,2292268.319018597,0.0009140055183913462,14900090.2,0.08592725091978776,101952262.20578656,0.06914190572064272,0.14614771538786225
Centro 1,20,128839.20000000001,973506.3047854106,0.0007430020971755406,15028929.399999999,0.0866702530169633,102925768.51057197,0.13234552192078505,0.14601716963091035
Centro 10,0,1376295.6,7006332.699594191,0.007936951775030185,17597735.699999996,0.10148428840477802,451722387.93256974,0.19643594716530027,0.03895697040950486
Centro 10,5,1115184.5,7959574.947811789,0.006431151561307868,18712920.199999996,0.10791543996608588,459681962.8803815,0.14010603673084096,0.040708406487703484
Centro 10,6,37678.0,247817.44755760056,0.00021728505778815778,18750598.199999996,0.10813272502387404,459929780.32793915,0.15203933529031466,0.0407683933548083
Centro 10,7,533144.4,4713832.282333264,0.0030745876045287094,19283742.599999994,0.11120731262840275,464643612.6102724,0.11310211481179447,0.041502222513439685
Centro 10,8,1123282.5,13787864.069010481,0.006477851874434055,20407025.099999994,0.1176851645028368,478431476.6792829,0.08146892762923902,0.04265401858933263
Centro 10,9,383805.0,7453938.634336053,0.0022133630130151253,20790830.099999994,0.11989852751585192,485885415.31361896,0.05149022802951835,0.042789574341473846
Centro 10,10,143991.8,3063207.315882965,0.0008303855455178314,20934821.899999995,0.12072891306136976,488948622.62950194,0.047006873891098214,0.04281599524182163
Centro 10,11,372425.8,7193294.439783291,0.0021477403650618635,21307247.699999996,0.12287665342643163,496141917.0692852,0.051774024143966486,0.04294587287819199
Centro 10,12,177856.4,4215625.960158783,0.001025679127129723,21485104.099999994,0.12390233255356134,500357543.029444,0.04218979617283242,0.04293950276020059
Centro 10,13,98017.1,1070778.335802001,0.0005652542926303848,21583121.199999996,0.12446758684619173,501428321.365246,0.09153817996008137,0.04304328311818392
Centro 10,15,9305.0,103802.97354133632,5.366095500607272e-05,21592426.199999996,0.1245212478011978,501532124.3387873,0.0896409773492141,0.04305292752376956
Centro 10,16,17682.4,417216.92264849454,0.00010197253850611289,21610108.599999994,0.12462322033970391,501949341.2614358,0.04238178999967705,0.043052369678765176
Centro 10,19,63208.9,1005001.0024690788,0.00036451906919756586,21673317.499999993,0.12498773940890147,502954342.26390487,0.06289436512472013,0.043092017860793815
Centro 11,0,276986.0,1008394.2632904028,0.0015973490900926448,22239102.29999999,0.12825056076257366,800799550.8210617,0.27468026156375713,0.02777112234540864
Centro 11,2,57047.9,310737.421706708,0.0003289892310683435,22296150.199999988,0.128579549993642,801110288.2427684,0.18358876663990964,0.027831561430706985
Centro 11,3,247776.0,1306475.9770895322,0.0014288980964626196,22543926.199999988,0.13000844809010462,802416764.2198579,0.18965216685574007,0.028095033909115927
Centro 11,4,283236.69999999995,1628581.9297753768,0.0016333962186747466,22827162.899999987,0.13164184430877934,804045346.1496333,0.1739161504997575,0.02839039241917562
Centro 11,5,210057.2,413135.58804610505,0.0012113777493714798,23037220.099999987,0.13285322205815084,804458481.7376794,0.5084461520089576,0.028636928596039148
Centro 11,7,1357422.0,7068435.793795942,0.007828109711580145,24394642.099999987,0.14068133176973097,811526917.5314753,0.19203994201820818,0.030060176160520063
Centro 11,8,315807.6,1194186.4740775852,0.0018212291686379163,24710449.699999988,0.1425025609383689,812721104.0055529,0.26445417600625265,0.030404587229509367
Centro 11,9,62732.0,463026.4749773492,0.00036176883712422936,24773181.699999988,0.14286432977549313,813184130.4805303,0.13548253369976043,0.030464418538715104
Centro 11,11,465160.80000000005,2173781.034496969,0.0026825333432980974,25238342.49999999,0.14554686311879123,815357911.5150273,0.21398696217240762,0.0309536979326101
Centro 11,13,424119.8,4965634.332819289,0.0024458542186979646,25662462.29999999,0.1479927173374892,820323545.8478466,0.0854110012082186,0.0312833423225424
Centro 11,14,491671.5,2793294.7941783275,0.0028354177581158824,26154133.79999999,0.15082813509560508,823116840.642025,0.17601847861698017,0.03177450941181079
Centro 11,15,18561.8,106965.33584683842,0.00010704394568852452,26172695.59999999,0.1509351790412936,823223805.9778718,0.17353098415526202,0.03179292849641366
Centro 11,16,396006.9,2531620.5041252756,0.0022837300852223902,26568702.49999999,0.15321890912651598,825755426.481997,0.1564242742364848,0.03217502622197934
