CP,Market Size,Latitude,Longitude
1001,2433141.913177913,42.8485387,-2.6722992
1002,5533587.21702869,42.8537555,-2.6573986
1003,6096144.231207986,42.8453744,-2.651191400000001
1004,1180869.5582483232,42.8444061,-2.6667109
1005,1883592.7883452077,42.8436672,-2.6722992
1006,3635717.009506089,42.8355156,-2.6561571
1007,2738630.6022343845,42.834706,-2.6909317
1008,4505896.015003912,42.848249,-2.6847201
1009,2250985.258916134,42.8543086,-2.6859623
1010,12442132.727810478,42.8563356,-2.7033575
1012,4296069.779768329,42.8545406,-2.6760251
1013,2462604.5156380404,42.8670045,-2.6636066
1015,5195203.218296602,42.8361441,-2.7331928
1110,208861.9699477991,42.6542156,-2.3517526
1117,35403.6087457023,42.7324024,-2.3517526
1118,112739.8908096157,42.6604333,-2.5197932
1120,114379.84269867917,42.73532609999999,-2.4455818
1128,4775.565818744756,42.6725457,-2.4109908
1129,12479.782529745486,42.780188,-2.4011124
1130,249796.69103392249,42.9581281,-2.8203207
1138,289022.7870029688,42.96788,-2.7182728
1139,289446.9000629608,43.003851,-2.8377656
1160,170029.7839179099,43.0636731,-2.5643773
1165,51931.98979583447,40.46366700000001,-3.74922
1169,85519.1697196511,43.038856,-2.5891648
1170,432841.9349230109,42.9792248,-2.6487087
1191,189696.74821476892,42.8881521,-2.797901
1192,325918.21056600893,42.8642828,-2.5693337
1193,198400.05680924415,42.8118503,-2.5654531
1194,319357.0632553476,42.8040067,-2.6487087
1195,266393.6139487978,42.820691,-2.7680247
1196,280646.0890193402,42.9000333,-2.7083287
1200,999135.2163029577,42.8112719,-2.3123031
1206,199197.21043976274,42.933515,-2.5197932
1207,76324.60269994677,42.8291544,-2.3912362
1208,107434.90132078259,42.897954,-2.3616203
1211,95664.42382356469,42.6086171,-2.6487087
1212,86093.05394031307,42.6449415,-2.7680247
1213,281412.22547588724,42.7120068,-2.9183165
1216,6348.447901658455,42.7086485,-2.5495112
1220,54630.54994623197,42.7206813,-2.8676861
1230,507458.64148940943,42.8192346,-2.8277963
1240,607977.8982457799,42.8461137,-2.5098914
1250,299804.72460457083,42.9086912,-2.3123031
1260,14309.34588844999,42.8705325,-2.2728877
1300,313190.74315144663,42.55321610000001,-2.5839836
1306,143500.9806955572,42.4951167,-2.5767694
1307,153394.87529438297,42.5493967,-2.6685736
1308,140184.0174826488,42.5725661,-2.5098914
1309,116966.04320894106,42.5503122,-2.6288523
1320,650817.3726991913,42.5150413,-2.4505255
1321,7239.803255054472,42.4991567,-2.5049414
1322,86401.38627389529,42.5546724,-2.4307539
1330,283524.59208484576,42.6048382,-2.807864
1340,198393.04866064448,42.5111014,-2.6288523
1400,3521459.3672925937,43.1455195,-2.9875565
1408,246427.1893681869,43.1015307,-3.0025615
1409,226286.70492774,43.1837181,-3.0075642
1420,111820.49758641924,42.7972359,-2.9275836
1423,306571.4224315265,42.8041284,-3.0375914
1426,33774.439100505835,42.80137570000001,-2.9852125
1427,16009.389726795005,42.87770219999999,-3.1980527
1428,32235.033304163575,42.8362244,-2.9275836
1430,36100.208705475,42.8688295,-2.8901388
1439,31263.0569115128,42.8946517,-2.9275836
1440,250234.20057347213,42.9487855,-2.9026172
1449,14642.409561754956,42.972451,-2.9275836
1450,13252.719721941981,43.0302111,-2.9475662
1468,187207.45721572303,42.97090559999999,-2.9875565
1470,1784765.3094426682,43.0679875,-2.9875565
1474,373317.960113872,43.117155,-3.1428341
1476,19444.980690335582,43.0910478,-3.0325855
1477,22827.041981405615,43.0847311,-3.0876783
1478,12613.728896051702,43.14123319999999,-3.1478514
1479,301215.6013188382,43.0459356,-3.0876783
1510,104074.08201468977,42.9009642,-2.6685736
1520,197153.49594079846,42.9317474,-2.5990835
2001,2820383.045356337,39.0019158,-1.8391485
2002,3448801.026806678,38.9873668,-1.8525626
2003,2965132.3421555962,38.9898579,-1.8598812
2004,3208322.596898958,38.9923873,-1.8647609
2005,6728933.540644911,39.067615,-1.8025852
2006,4895403.886647199,39.0336871,-1.9685826
2007,6966.351754813055,39.0977825,-1.8708613
2008,2921139.983199434,38.9630724,-1.8220818
2049,541100.8408448613,38.9197701,-1.9196949
2100,745954.9671376857,39.2424084,-1.9294681
2110,329690.1285059404,39.1163314,-2.0077316
2120,162116.77818129133,38.7721486,-1.9979411
2124,65329.76048338953,38.6468054,-1.9783666
2125,29799.14443836513,38.5391465,-2.1352039
2127,23034.251394744195,38.6951794,-2.2039933
2129,4554.165940353848,38.6880575,-2.0175242
2130,78520.13828149506,38.558687,-2.2138289
2136,39187.57578402744,38.5968386,-2.3431201
2137,1342.3519096351367,38.5987605,-2.3123031
2139,61743.287855446244,38.6120628,-2.1646722
2140,112743.38029868259,38.8262246,-1.8903882
2141,142733.92521014376,38.7103261,-1.9392435
2142,49735.62283316403,38.6690599,-1.900155
2150,241981.58673457406,39.111283,-1.6663523
2151,161264.54396698243,39.0812595,-1.5789994
2152,59735.96343729752,39.0523443,-1.3951694
2153,57597.526958321636,39.11615219999999,-1.2794744
2154,69997.16865824118,39.0722329,-1.4724751
2155,1176.2840932079741,39.0687887,-1.7246856
2156,102262.89727881324,39.0490736,-1.6469253
2160,106319.51047019336,39.0059713,-2.341887
2161,42121.91543951643,38.9035809,-2.2433487
2162,37081.32917561556,38.96239680000001,-2.1265059
2200,628578.7700478828,39.2907129,-1.4628042
2210,4690.245842499635,39.19734340000001,-1.4531355
2211,9260.170222709487,39.1669696,-1.3855161
2212,69650.10640365903,39.2510091,-1.3083685
2213,11717.005707305572,39.1997868,-1.2409799
2214,151479.42553644153,39.2621301,-1.2409799
2215,83952.55382998612,39.3034475,-1.3730617
2220,64599.05213428565,39.1719845,-1.7830973
2230,616049.0111080781,39.244283,-1.8123324
2240,170729.3601679371,39.2039046,-1.7344155
2246,57604.868965360016,39.2869979,-1.7344155
2247,135049.87925869643,39.2881262,-1.6566377
2248,38135.034876348356,39.0883941,-1.4289734
2249,28946.837322978747,39.1547606,-1.5305465
2250,95916.83572224401,39.2171434,-1.5305465
2252,1351.8850578842091,39.2269051,-1.4785205
2253,13755.327188238427,39.2366145,-1.627507
2260,221178.5786381364,39.2584424,-1.5499211
2270,485330.23595608404,39.3727033,-1.5402327
2300,169365.87474938764,38.6710735,-2.4925685
2310,43253.72967120085,38.7724137,-2.5744037
2311,47557.82382022094,38.6973471,-2.6090043
2312,8334.412286999259,38.6986549,-2.5495112
2313,22054.726072708178,38.6494028,-2.4011124
2314,18470.407601655086,38.7347837,-2.3221622
2315,42347.48367832762,38.5947041,-2.5098914
2316,52713.9628958439,38.5728697,-2.5495112
2320,274979.99743156636,38.8951599,-2.1352039
2326,130846.79321683687,38.779652,-2.1646722
2327,64313.78279232406,38.8229056,-2.086133
2328,140983.04443286502,38.9390013,-2.0175242
2329,35467.03009645084,38.7884448,-2.2531929
2340,43369.099599586865,38.7750499,-2.4011124
2350,64001.06302501236,38.5706747,-2.6487087
2360,70439.48248344197,38.5286934,-2.6487087
2400,3290558.8379092165,38.5760616,-1.8123324
2409,102316.37880594743,38.4954133,-1.5789994
2410,123151.4237859612,38.5322038,-1.9294681
2420,246259.38744567297,38.4500015,-1.8123324
2430,459323.16458994907,38.4454636,-2.086133
2434,106341.37984399074,38.3398844,-2.1057549
2435,133276.1354612706,38.3323956,-1.985402
2436,75245.48250420447,38.4060653,-1.9294681
2437,56985.19281492132,38.3218396,-1.9294681
2439,5193.026877527827,38.3726789,-2.037116
2440,44424.43922551199,38.4532706,-2.2335066
2448,40840.60971817498,38.5251006,-2.3221622
2449,19150.801277596125,38.47539889999999,-2.1744993
2450,150748.97513694776,38.4982409,-2.4171658
2459,21212.84722368366,38.470787,-2.4109908
2460,36374.85565999741,38.4687171,-2.5098914
2461,10849.210853621165,38.4215156,-2.5049414
2462,2453.5108080288855,38.4202346,-2.5643773
2480,176166.81522979794,38.3675932,-2.3123031
2485,86161.95366460315,38.3858439,-2.4505255
2486,54455.83802379752,38.4311049,-2.2925911
2490,78641.34902187422,38.4236799,-1.6347878
2499,64509.559878373126,38.4112907,-1.5789994
2500,851160.5523719304,38.6192045,-1.7344155
2510,388054.46480721346,38.7868031,-1.7344155
2511,13866.501407496804,38.7437663,-1.8123324
2512,24140.369091168184,38.7047228,-1.6178011
2513,65963.40001359207,38.5475411,-1.6080974
2520,402356.3421826773,38.9333839,-1.714958
2530,89521.60122712556,38.1437833,-2.2999821
2534,39746.80383907242,38.1013401,-2.4406387
2600,3314019.4899916113,39.2676169,-2.6043204
