CMP name,Name Unit,CP CMP,CP Sales,Sales Value (excl. VAT)
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2001,432.1
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2005,134.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2006,1035.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2008,50.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2480,3127.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2640,569.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,2690,6964.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3001,177339.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3002,247553.9
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3003,245369.5
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3004,387286.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3005,939610.9
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3006,248403.9
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3007,341330.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3008,588559.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3009,374367.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3010,444012.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3011,110982.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3012,452678.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3013,393224.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3014,90949.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3015,824968.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3016,756308.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3100,72032.1
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3108,6220.3
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3109,48176.1
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3110,892361.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3111,195974.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3112,46005.9
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3113,9063.1
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3114,15514.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3130,339100.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3139,26843.3
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3140,2796.1
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3150,600.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3159,1289.3
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3160,1420.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3170,1579.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3177,8909.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3179,1831.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3181,1709.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3183,11325.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3184,376.9
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3185,3475.0
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3189,14031.6
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3190,2134.2
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3195,174046.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3201,21448.3
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3202,150863.8
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3203,141338.4
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3204,12461.7
IKEA ALICANTE CC GRAN VIA,Centro 1,3015,3205,14469.8
